id,title,description,status,priority,type,assignee,labels,estimate_minutes,parent_id,acceptance,design,notes,project,created_at,updated_at,error_log
chum-td05,"Clean stale sections from chum.toml","chum.toml has orphan/stale configuration:
- [dispatch.tmux] section references dead tmux dispatcher
- [projects.hunter-galloway] enabled=false, points to hardcoded /home/ubuntu/obsidian-vault
- [projects.hg-website] enabled=false, dead project reference

Clean out orphan projects and tmux section.",completed,2,task,"","[""chore"",""config""]",30,"","- [dispatch.tmux] section removed
- Disabled project entries removed or moved to configs/examples
- CHUM starts cleanly with updated config
- go test ./... passes with config changes","","",chum,"2026-02-21 04:10:23","2026-02-22 13:09:57",""
chum-td06,"Add smoke tests for untested API handler files","internal/api/ has 7 handler files but only api_test.go + auth_test.go provide test coverage. The following 5 files (~26KB combined) have no handler-level tests:
- handlers_metrics.go
- handlers_planning.go
- handlers_safety.go
- handlers_status.go
- handlers_workflow.go

Add at minimum smoke tests for each handler (response codes, JSON shape, auth enforcement).",completed,2,task,"","[""testing"",""tech-debt""]",120,"","- Each of the 5 handler files has corresponding test coverage
- Tests verify HTTP status codes, response JSON structure, and auth enforcement
- go test ./internal/api/... passes
- Coverage for internal/api/ increases by at least 20%","","",chum,"2026-02-21 04:10:23","2026-02-22 13:18:46",""
chum-td07,"Write design docs for Docker dispatcher and API endpoints","Two key subsystems lack documentation:
1. Docker dispatcher — no design doc since migration from tmux
2. API handlers — docs/api/ has security docs and LLM interaction guide but no endpoint reference (route list, request/response shapes)

Also add an operational runbook for Stingray (currently only has STINGRAY_DESIGN.md).",completed,2,task,"","[""docs""]",90,"","- docs/architecture/DOCKER_DISPATCHER.md created with design overview
- docs/api/ENDPOINTS.md created with complete route reference
- docs/operations/STINGRAY_RUNBOOK.md created with operational guide
- Links added to README.md documentation section","","",chum,"2026-02-21 04:10:23","2026-02-22 13:18:46",""
chum-td08,"Clean gitignored files from working tree","Several gitignored files/directories are present on disk in the repo root:
- chum (35MB compiled binary)
- chum.log (60KB)
- cortex.db (0 bytes, empty)
- memory/ (empty directory)
- rollback-config/ (3 stale rollback snapshot files)
- evidence/ (~170KB launch evidence artifacts)
- artifacts/ (launch/ subdir)

Clean these from the working tree and verify they stay gitignored.",completed,3,task,"","[""chore"",""hygiene""]",15,"","- All listed files/directories removed from working tree
- .gitignore entries verified to prevent re-tracking
- No untracked files appear in git status after cleanup","","",chum,"2026-02-21 04:10:23","2026-02-22 13:18:46",""
chum-td09,"Add CI workflow for golangci-lint and dependabot",".github/workflows/ has only 1 file. Add:
1. Standalone golangci-lint workflow (currently only inline in DoD checks)
2. Dependabot or Renovate config for Go module updates
3. Optional: release automation workflow",completed,3,task,"","[""ci"",""chore""]",45,"","- .github/workflows/lint.yml runs golangci-lint on PRs
- .github/dependabot.yml or renovate.json enables automated dependency updates
- CI passes on current codebase","","",chum,"2026-02-21 04:10:23","2026-02-22 13:18:46",""
chum-td10,"Fix README badge links for correct repo name","README.md lines 4-7 badge links point to Heikkila-Pty-Ltd/chum. Verify this matches the actual GitHub repo name, or update if the repo was renamed to cortex.",completed,3,task,"","[""docs"",""chore""]",10,"","- All badge URLs point to correct GitHub repo
- Badges render correctly on GitHub","","",chum,"2026-02-21 04:10:23","2026-02-22 13:18:46",""
chum-td11,"Upgrade make lint to run full golangci-lint suite","make lint currently just runs fmt + vet. The real linting is make lint-full which runs golangci-lint. Either make lint run the full golangci-lint suite, or alias make lint to make lint-full.",completed,3,task,"","[""chore"",""dx""]",15,"","- make lint runs golangci-lint (not just fmt+vet)
- make help output reflects the change
- DoD checks still pass","","",chum,"2026-02-21 04:10:23","2026-02-22 13:18:46",""
chum-td12,"Document single-provider tier routing as intentionally deferred","All three tiers (fast/balanced/premium) route to codex-spark. The tiered routing + cost-escalation logic runs but does nothing meaningful until a second provider is added. complexity_escalation_minutes and retry_escalation_attempt config have no real effect.

Either add documentation explaining this is intentionally deferred, or add a second provider to activate the system.",completed,3,task,"","[""docs"",""tech-debt""]",15,"","- CONFIG.md updated with note about current single-provider state
- Decision documented: deferred vs planned provider additions
- No code changes required unless adding providers","","",chum,"2026-02-21 04:10:23","2026-02-22 13:18:46",""
chum-td13,"Add Temporal batch operations CLI and pre-deploy hook","Implement admin CLI commands for bulk Temporal workflow management:

1. `chum admin drain` — signal all running ChumAgentWorkflow instances to finish current step and stop
2. `chum admin resume` — restart drained workflows
3. `chum admin reset --query <visibility-query>` — batch-reset failed workflows for retry
4. `chum admin terminate --query <visibility-query>` — batch-terminate matching workflows

Also add a Makefile pre-deploy hook (`make pre-deploy`) that terminates all running workflows before deploying a new binary, preventing nondeterministic replay errors from workflow definition changes.

Use the Temporal Batch Operations API (temporal.api.workflowservice.v1) for bulk actions.",completed,2,task,"","[""feature"",""temporal""]",120,"","- `chum admin drain` signals all running agent workflows to pause
- `chum admin resume` restarts paused workflows
- `chum admin reset` batch-resets failed workflows matching a query
- `chum admin terminate` batch-terminates matching workflows
- `make pre-deploy` terminates running workflows before binary swap
- All commands use Temporal visibility queries for targeting
- go build ./... succeeds
- go test ./... passes","","",chum,"2026-02-21 05:48:22","2026-02-22 13:27:19.289963476 +0000 UTC",""
chum-td14,"Register custom Temporal search attributes for visibility","Register custom search attributes on ChumAgentWorkflow start so workflows are filterable in the Temporal UI and targetable by batch operations:

Search attributes to register:
- `project` (Keyword) — project name from config
- `priority` (Int) — task priority (0-4)
- `agent` (Keyword) — assigned agent name (claude/codex/gemini)
- `current_stage` (Keyword) — current workflow stage (plan/gate/execute/review/dod)
- `task_title` (Text) — task title for search

Implementation:
1. Register search attributes with Temporal server on startup (idempotent)
2. Set attributes via workflow.UpsertSearchAttributes() at workflow start
3. Update `current_stage` attribute on each stage transition
4. Update dispatcher scan to use search attributes for running-count queries

This enables surgical batch operations (e.g., terminate all failed gemini workflows) and makes the Temporal UI much more informative with filterable columns.",completed,2,task,"","[""feature"",""temporal"",""observability""]",90,"","- 5 custom search attributes registered with Temporal server
- ChumAgentWorkflow sets project/priority/agent/task_title at start
- current_stage updates on each stage transition
- Search attributes visible and filterable in Temporal UI at :8080
- Batch queries using custom attributes work (e.g., agent = ""gemini"")
- go build ./... succeeds
- go test ./... passes","","",chum,"2026-02-21 05:48:22","2026-02-24 03:03:56.863640265 +0000 UTC","Attempt 1 DoD failed: Command failed: go test ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)
---
Attempt 2 execute error: activity error (type: ExecuteActivity, scheduledEventID: 95, startedEventID: 96, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 3 DoD failed: Command failed: go test ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)
---
Attempt 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 161, startedEventID: 162, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 2 DoD failed: Command failed: go test ./... (exit 1); Command failed: go vet ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)"
chum-6781f6,"Document biological architecture: atoms, enzymes, phylogeny, immune system","Capture the full biological metaphor hierarchy that has emerged:

## Hierarchy (playbook side)
- **Atoms** = individual tool calls / scripts (smallest indivisible unit)
- **Molecules** = composed sequences of atoms (a single step)
- **Proteins** = composed sequences of molecules (a complete workflow)
- **Enzymes** = calcified scripts — deterministic replacements for LLM calls (already implemented as CalcificationWorkflow)
- **DNA/Genome** = accumulated species memory, antibodies, fossils

## Immune System (defense layers)
- **IgM** (first response) = immediate retry with error context
- **IgG** (long-term memory) = genome antibodies, persists across tasks
- **IgA** (mucosal barrier) = preflight checks, DoD gates, UBS scans
- **IgE** (allergic response) = species hibernation after 3+ failures
- **IgD** (activation signal) = escalation to Hex/human

## Per-Organism Genomes
Each actor has a specialized genome:
- Turtle: planning anti-patterns, sizing, priority frameworks
- Crab: decomposition patterns, dependency graphs
- Shark: execution patterns, file-level antibodies
- Octopus: learning patterns, retro templates

## Phylogeny
Track species evolution over time using git history:
- Most-mutated files = most hostile ecological niches
- git log --stat shows which organisms evolve which files
- Lineage tracking for protein/antibody changes

## Key Separation of Concerns
- Aquarium metaphor = the ACTORS (who does what)
- Molecular biology = the PLAYBOOK (how they do it)
- These are complementary, not competing",cancelled,3,task,"","[""docs"",""architecture"",""backlog""]",60,"","IMMUNOLOGY.md or equivalent doc exists capturing the full biological metaphor hierarchy, immune system layers, and per-organism genome specializations","","",chum,"2026-02-23 06:14:03.603653265 +0000 UTC","2026-02-25 23:04:39",""
chum-enzyme-rename,"Rename calcification to enzyme across codebase","Rename the calcification concept to enzyme - biologically more accurate. An enzyme speeds up a reaction without being consumed. Files: workflow_calcifier.go, calcifier_activities.go, calcifier_exec.go. Types: CalcificationWorkflow, CalcificationCandidate, CalcifiedScriptResult, etc.",cancelled,3,task,"","[""refactor"",""naming"",""backlog""]",0,"","","","",chum,"2026-02-23 06:17:25","2026-02-25 23:04:39",""
chum-db-provider-genes,"Add missing provider_genes column migration to genomes table","The genomes table is missing the provider_genes column. Multiple activities fail with: SQL logic error: table genomes has no column named provider_genes (1). Breaks genome evolution, protein proteinisation, and paleontologist bootstrap for every species. A DB migration needs to be applied to the cortex.db used by chum.",cancelled,1,bugfix,"","[""db-migration"",""genome"",""paleontologist""]",30,"","Migration adds provider_genes column to genomes table. ScanProteinCandidatesActivity and AuditSpeciesHealthActivity no longer emit SQL logic errors. Genome bootstrap succeeds for all species.","","",chum,"2026-02-23 07:59:24","2026-02-25 23:04:39","Attempt 1 DoD failed: Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 3)
---
Attempt 2 execute error: activity error (type: ExecuteActivity, scheduledEventID: 95, startedEventID: 96, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 3 execute error: activity error (type: ExecuteActivity, scheduledEventID: 108, startedEventID: 109, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 1 DoD failed: Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit -1)
---
Attempt 2 execute error: activity error (type: ExecuteActivity, scheduledEventID: 174, startedEventID: 175, identity: ): activity Heartbeat timeout (type: Heartbeat)"
chum-13b00b,"Preflight validation before shark dispatch","Before dispatching a shark (ChumAgentWorkflow), validate upfront: API keys present, model availability (dry-run health check), workspace exists and is a git repo, DoD commands parseable. Inspired by HankWeave preflight — never waste a long run on something catchable in the first second. Add a PreflightActivity that runs before SetupWorktreeActivity. If preflight fails, skip the morsel and record a health_event with details.",escalated,1,task,"","[""source:adversarial-analysis"",""predator-upgrade""]",30,"","1. PreflightActivity validates: API key env vars set, workspace dir exists, git status succeeds, DoD check commands are non-empty. 2. Failures produce health_event(preflight_failed, details). 3. Failed preflight skips the morsel gracefully (marks as blocked, not failed). 4. Zero additional token cost for preflight.","Add PreflightActivity to activities.go. Insert it as the first step in ChumAgentWorkflow before worktree setup. Check: os.Getenv for provider API keys, stat workspace dir, git rev-parse --git-dir, validate DoD checks non-empty. Return PreflightResult{passed bool, failures []string}.","",chum,"2026-02-23 09:32:56.577661684 +0000 UTC","2026-02-24 02:00:49.335109158 +0000 UTC","Attempt 1 DoD failed: Command failed: go test ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 3)
---
Attempt 2 DoD error: activity error (type: DoDVerifyActivity, scheduledEventID: 121, startedEventID: 122, identity: ): activity StartToClose timeout (type: StartToClose)
---
Attempt 3 DoD failed: Command failed: go test ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 3)
---
Attempt 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 185, startedEventID: 186, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 2 DoD failed: Command failed: go test ./... (exit 1); Command failed: go vet ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)"
chum-5f209b,"Context boundaries between plan/execute/review stages","Inspired by HankWeave controlled forgetting: each pipeline stage should get only the context it needs, not the entire accumulated history. Currently the execute step gets plan.PreviousErrors growing without bound across retries. The review step gets the full execution output. Implement explicit context windows: plan stage gets task prompt + lessons. Execute stage gets plan summary + previous errors (trimmed to last 2). Review stage gets plan + diff only. DoD gets only the check commands.",cancelled,1,task,"","[""source:adversarial-analysis"",""predator-upgrade"",""context-engineering""]",45,"","1. PreviousErrors trimmed to last 2 entries before passing to execute (prevents unbounded context growth). 2. Review activity receives a trimmed context (plan summary + diff, not full exec output). 3. No regression in test suite. 4. Logged context sizes at each stage boundary.","In ChumAgentWorkflow: before each ExecuteActivity call, trim plan.PreviousErrors to the last 2. For CodeReviewActivity, pass only plan.Summary + truncated diff instead of full execResult.Output. Add context size logging at each stage boundary: logger.Info(""context boundary"", ""stage"", name, ""promptLen"", len(prompt)).","",chum,"2026-02-23 09:33:14.776967504 +0000 UTC","2026-02-25 23:04:39","Attempt 1 DoD failed: Command failed: go test ./... (exit 1); Command failed: go vet ./... (exit -1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit -1)
---
Attempt 2 DoD error: activity error (type: DoDVerifyActivity, scheduledEventID: 121, startedEventID: 122, identity: ): activity StartToClose timeout (type: StartToClose)
---
Attempt 3 DoD failed: Command failed: go test ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 3)
---
Attempt 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 185, startedEventID: 186, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 2 DoD failed: Command failed: go test ./... (exit 1); Command failed: go vet ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)"
chum-f8d7f7,"Sub-step execution isolation (codon-inspired granularity)","Currently ExecuteActivity is a single monolithic LLM call. When it fails, we retry the entire execution. Inspired by HankWeave codons: break execution into sub-steps with git checkpoints between them. After plan generates FilesToModify and Steps, execute each step as a separate LLM call with a git commit between. If step 4/5 fails, roll back to checkpoint after step 3 and retry only step 4. This cuts token waste on retries by ~60% for multi-step tasks.",cancelled,2,task,"","[""source:adversarial-analysis"",""predator-upgrade"",""execution-engine""]",60,"","1. Multi-step plans execute each PlanStep as a separate agent call. 2. Git commit after each successful step (chum checkpoint). 3. On step failure, git reset to last checkpoint and retry that step only. 4. Single-step plans behave identically to current behavior. 5. Step-level timing logged in StepMetrics.","Add SubStepExecuteActivity that takes a single PlanStep + TaskRequest. In ChumAgentWorkflow, if plan.Steps > 1, loop through steps calling SubStepExecuteActivity for each. After each, run git add -A && git commit --allow-empty -m ""chum: checkpoint step N"". On failure, git reset --hard HEAD~1 and retry. Fallback to monolithic ExecuteActivity if sub-step mode fails twice.","",chum,"2026-02-23 09:33:37.971719842 +0000 UTC","2026-02-25 23:04:39","Attempt 1 DoD error: activity error (type: DoDVerifyActivity, scheduledEventID: 70, startedEventID: 71, identity: ): activity StartToClose timeout (type: StartToClose)
---
Attempt 2 DoD failed: Command failed: go test ./... (exit 1); Command failed: go vet ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 3)
---
Attempt 3 DoD error: activity error (type: DoDVerifyActivity, scheduledEventID: 160, startedEventID: 161, identity: ): activity StartToClose timeout (type: StartToClose)
---
Handoff 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 199, startedEventID: 200, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 1: review not passed after 1 handoffs
---
Attempt 2 DoD failed: Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)"
chum-72d621,"Stingray sentinel pattern for drift detection during execution","Inspired by HankWeave sentinels: parallel watcher agents that monitor execution in real-time and intervene. Currently UBS runs after execute+review but before DoD. Add a lightweight sentinel that watches the git diff after execution and flags: files modified outside plan scope, unexplained deletions, imports added without use, test files removed. This catches agent drift before the expensive review step.",cancelled,2,task,"","[""source:adversarial-analysis"",""predator-upgrade"",""quality-gate""]",45,"","1. SentinelScanActivity runs after ExecuteActivity, before CodeReviewActivity. 2. Checks: files modified vs plan.FilesToModify (flags out-of-scope changes), deletions of test files, total diff size vs estimate. 3. Produces SentinelResult{passed bool, warnings []string, critical []string}. 4. Critical findings abort the attempt (same as UBS). Warnings are appended to plan.PreviousErrors for the reviewer.","Add SentinelScanActivity to activities.go. Input: worktreePath, plan.FilesToModify, plan.EstimatedComplexity. Run: git diff --name-only HEAD, compare against plan.FilesToModify, flag any _test.go deletions, check diff stat line count vs complexity estimate. Insert in ChumAgentWorkflow between execute and review steps.","",chum,"2026-02-23 09:33:56.275823779 +0000 UTC","2026-02-25 23:04:39","Attempt 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 44, startedEventID: 45, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 2 DoD failed: Command failed: go test ./... (exit 1); Command failed: go vet ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 3)
---
Attempt 3 DoD error: activity error (type: DoDVerifyActivity, scheduledEventID: 136, startedEventID: 137, identity: ): activity StartToClose timeout (type: StartToClose)
---
Attempt 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 149, startedEventID: 150, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 2 DoD failed: Command failed: go test ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)"
chum-d01d1a,"Alien Observer: kill stagnating evolutionary branches at sub-step level","Last resort above the escalation chain. When sub-step execution retries the same step and gets the same error signal twice, the alien intervenes: kills the branch, rolls back to the last checkpoint, and forces a model switch (different gene pool). The alien does not retry — it exterminates the dead-end and hands the sub-step to a different species. This builds on sub-step checkpointing (chum-f8d7f7): the checkpoint tree creates the branches, the alien prunes them. Every pruned branch feeds the genome as an antibody so future organisms never explore that dead end again.",closed,2,task,"","[""source:adversarial-analysis"",""predator-upgrade"",""alien-observer""]",45,"","1. After a sub-step fails twice with similar error (string similarity > 0.7 or identical error category), trigger alien intervention. 2. Alien logs: alien_intervention health event with branch details. 3. Alien forces tier escalation at the sub-step level (not whole workflow). 4. The pruned branch pattern is recorded in the genome as an antibody. 5. If the alien kills 3 branches on the same morsel, the morsel is marked hibernated — the biome cannot support this organism.","In the sub-step retry loop (from chum-f8d7f7), after each failure compare current error with previous error using simple string similarity (shared words / total words). If similarity > 0.7: alien intervention. Log health_event(alien_intervention, details). Call EvolveGenomeActivity with antibody for the sub-step pattern. Force escalation to next tier for this sub-step only (steps 1-3 stay on original agent). If 3 alien interventions on same morsel: HibernateGenomeActivity + mark task escalated.","",chum,"2026-02-23 10:48:52.151471419 +0000 UTC","2026-02-25 02:47:16.871839306 +0000 UTC","Attempt 1 DoD failed: Command failed: go test ./... (exit 1); Command failed: GOFLAGS=-buildvcs=false golangci-lint run --timeout=5m --allow-parallel-runners --new-from-rev=HEAD~1 (exit 1)
---
Attempt 2 execute error: activity error (type: ExecuteActivity, scheduledEventID: 107, startedEventID: 108, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 3 DoD failed: Command failed: go test ./... (exit 1)
---
Attempt 1 DoD failed: Command failed: go test ./... (exit 1)
---
Attempt 2 DoD failed: Command failed: go test ./... (exit 1)
---
Attempt 1 DoD failed: Command failed: go test ./... (exit 1)"
